,spot,wave_direction,wave_type,crowd_level,reg_link,latitude,longitude
0,Tamarin Bay,Left,Reef break,Busy,https://surfing-waves.com/atlas/africa/mauritius/spot/tamarin_bay.html,-20.32659339904785,57.37077713012695
0,Bizerte Corniche,Left,Beach break,Empty,https://surfing-waves.com/atlas/africa/tunisia/spot/bizerte_corniche.html,37.32020950317383,9.87035751342773
1,Hamamet Yasmine,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/africa/tunisia/spot/hamamet_yasmine.html,36.35992813110352,10.55030822753906
2,La Coupole,Right,Beach break,Empty,https://surfing-waves.com/atlas/africa/tunisia/spot/la_coupole.html,36.98500442504883,10.45898437500000
3,La Droite du Fort,Right,Reef break,Empty,https://surfing-waves.com/atlas/africa/tunisia/spot/la_droite_du_fort.html,36.96436309814453,8.75481605529785
0,NGor right,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/senegal/spot/ngor_right.html,14.75405025482178,-17.51684188842773
1,Virage,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/africa/senegal/spot/virage.html,14.76558685302734,-17.49435424804688
2,Yoff Plage,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/africa/senegal/spot/yoff_plage.html,14.76558685302734,-17.45967864990234
0,Busua Beach,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/africa/ghana/spot/busua_beach.html,4.80294370651245,-1.92466735839844
1,The Point,Right & left,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/ghana/spot/the_point.html,5.49376869201660,-0.36616912484169
2,Till's,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/africa/ghana/spot/till_s.html,5.41222715377808,-0.46760559082031
3,White Sands Point,Right,Point break,Empty,https://surfing-waves.com/atlas/africa/ghana/spot/white_sands_point.html,5.41842174530029,-0.46181201934814
0,black and decker,Right & left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/africa/reunion/spot/black_and_decker.html,-20.89987182617188,55.43701171875000
1,St Gilles Les Baines,Right,Reef break,Busy,https://surfing-waves.com/atlas/africa/reunion/spot/st_gilles_les_baines.html,-21.05374526977539,55.16784667968750
2,The Cafrine,Right & left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/africa/reunion/spot/the_cafrine.html,-21.17032623291016,55.25436401367188
3,Trois Bassins,Right & left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/africa/reunion/spot/trois_bassins.html,-21.11316680908203,55.24234771728516
0,Flameballs,Left,Reef break,Empty,https://surfing-waves.com/atlas/africa/madagascar/spot/flameballs.html,-23.64441871643066,43.57177734375000
1,Lavanono,Left,Reef break,Empty,https://surfing-waves.com/atlas/africa/madagascar/spot/lavanono.html,-25.43071174621582,44.93373870849609
2,Libanono,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/africa/madagascar/spot/libanono.html,-25.09114456176758,46.88964843750000
3,Monseigneur,Right,Point break,Not Too Bad,https://surfing-waves.com/atlas/africa/madagascar/spot/monseigneur.html,-25.02883338928223,47.00835418701172
0,Cloudbreak,Left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/australasia_pacific/pacific_islands/fiji/spot/cloudbreak.html,-17.88465881347656,177.18475341796875
1,Frigates Passage,Left,Reef break,Can Get Busy,https://surfing-waves.com/atlas/australasia_pacific/pacific_islands/fiji/spot/frigates_passage.html,-18.47260856628418,177.92315673828125
